Product;Cluster;Centroid
334859700_2;6;False
334899401_2;4;False
335004401_2;1;False
335004901_2;8;False
335005001_2;8;False
335007200_2;4;False
335007300_2;4;False
335007400_2;4;False
335007500_2;4;False
335007600_2;4;False
335008101_2;9;False
335008200_2;4;False
335008400_2;3;False
335008500_2;3;False
335008900_2;4;False
335009300_2;9;False
335009700_2;3;False
335010700_2;4;False
335010900_2;4;False
335011700_2;4;False
335012400_2;9;False
335012600_2;9;False
335012700_2;9;False
335012800_2;4;False
335013000_2;4;False
335013300_2;3;False
335013500_2;4;False
335013800_2;4;False
335013900_2;4;False
335014000_2;4;False
335014100_2;4;False
335014200_2;4;False
335014300_2;4;False
335014400_2;9;False
335014500_2;4;False
335014700_2;4;False
335014800_2;4;False
335015200_2;3;False
335015400_2;4;False
335015500_2;4;False
335016200_2;4;False
335016300_2;9;False
335016500_2;4;False
335016600_2;4;False
335016800_2;4;False
335016900_2;4;False
335017100_2;4;False
335017200_2;4;False
335017300_2;4;False
335018100_2;3;False
335018500_2;9;False
335019600_2;4;False
335019900_2;4;False
335020000_2;4;False
335020200_2;5;False
335020300_2;9;False
335020800_2;4;False
335020900_2;4;False
335021000_2;4;False
335021100_2;9;False
335021301_2;8;False
335021401_2;8;False
335021501_2;9;False
335021601_2;9;False
335021901_2;9;False
335022001_2;9;False
335022101_2;9;False
335022201_2;8;False
335022301_2;8;False
335022401_2;8;False
335022501_2;8;False
335022601_2;9;False
335022701_2;9;False
335022900_2;4;False
335023000_2;4;False
335023200_2;4;False
335023300_2;4;False
335025200_2;9;False
335025300_2;9;False
335025400_2;9;False
335025600_2;9;False
335025700_2;9;False
335025800_2;9;False
335026000_2;4;False
335026100_2;9;False
335026200_2;9;False
335027400_2;4;False
335027500_2;4;False
335029700_2;3;False
335029800_2;3;False
335030700_2;3;False
335030900_2;4;False
335031000_2;4;False
335031100_2;3;False
335031200_2;3;False
335031900_2;3;False
335032100_2;4;False
335035300_2;4;False
335035500_2;4;False
335035600_2;4;False
335035700_2;4;False
335035800_2;9;False
335035900_2;3;False
335036100_2;4;False
335036300_2;4;False
335036400_2;3;False
335036500_2;4;False
335036700_2;3;False
335036800_2;4;False
335036900_2;3;False
335040501_2;9;False
335040601_2;5;False
335040701_2;1;False
335040801_2;5;False
335041001_2;5;False
335041101_2;8;False
335041200_2;4;False
335041300_2;9;False
335041400_2;9;False
335041500_2;4;False
335041600_2;9;False
335041700_2;4;False
335041800_2;9;False
335042700_2;9;False
335042800_2;9;False
335042900_2;9;False
335043000_2;3;False
335043100_2;4;False
335043200_2;9;False
335043300_2;4;False
335043401_2;5;False
335048800_2;4;False
335048900_2;4;False
335051400_2;4;False
335051600_2;9;False
335051700_2;4;False
335054400_2;6;False
335054500_2;6;False
335054600_2;6;False
335054700_2;6;False
335054800_2;6;False
335054900_2;6;False
335055000_2;1;False
335055100_2;6;False
335055200_2;6;False
335055300_2;1;False
335055400_2;6;False
335055500_2;6;False
335055600_2;1;False
335055700_2;5;False
335055800_2;1;False
335055900_2;5;False
335056100_2;1;False
335056200_2;1;False
335056300_2;6;False
335056400_2;1;False
335056500_2;6;False
335056600_2;1;False
335056700_2;6;False
335056800_2;6;False
335056900_2;8;False
335057000_2;1;False
335057100_2;1;False
335057200_2;1;False
335057300_2;6;False
335057400_2;1;False
335057500_2;6;False
335057600_2;6;False
335057700_2;6;False
335057800_2;6;False
335058200_2;6;False
335058300_2;1;False
335058400_2;6;False
335058500_2;6;False
335058600_2;6;False
335058700_2;1;False
335058800_2;8;False
335058900_2;1;False
335060800_2;8;False
335061800_2;6;False
335062500_2;9;False
335275500_2;4;False
335300100_2;3;False
335300400_2;3;False
335322900_2;1;False
335322901_2;1;False
335501700_2;9;False
335846800_2;1;False
335847000_2;1;False
335871300_2;1;False
335871400_2;6;False
335871500_2;7;False
335871600_2;5;False
335899401_2;1;False
335970842_2;6;False
335970843_2;1;False
335970844_2;2;False
335970845_2;1;False
335970846_2;1;False
335970847_2;1;False
335970848_2;1;False
335970849_2;1;False
335970850_2;1;False
335970851_2;6;False
335970852_2;6;False
335970853_2;1;False
335970858_2;1;False
335970859_2;1;False
335970860_2;1;False
335970861_2;1;False
335970862_2;5;False
335970863_2;6;False
335970864_2;6;False
335970865_2;6;False
335970866_2;6;False
335970867_2;8;False
335970868_2;6;False
335970869_2;6;False
335970870_2;8;False
335970871_2;8;False
335970872_2;1;False
335970873_2;1;False
335970874_2;1;False
335970875_2;1;False
335970876_2;1;False
335970877_2;1;False
335970878_2;8;False
336006300_2;1;False
336006400_2;6;False
336006500_2;6;False
336006600_2;6;False
336006700_2;6;False
336007501_2;4;False
336011400_2;4;False
336011500_2;9;False
336011600_2;9;False
336012400_2;9;False
336012500_2;9;False
336012900_2;9;False
336013300_2;9;False
336013800_2;9;False
336014100_2;3;False
336014300_2;9;False
336015300_2;3;False
336993004_2;3;False
336993005_2;4;False
336993006_2;4;False
336993007_2;4;False
336993008_2;3;False
337001601_2;3;False
337001901_2;5;False
337001902_2;6;False
337002001_2;9;False
337002902_2;5;False
337002903_2;9;False
337002904_2;5;False
337002905_2;1;False
337003003_2;9;False
337005503_2;8;False
337005802_2;4;False
337005901_2;3;False
337006001_2;6;False
337006401_2;3;False
337006901_2;9;False
337009901_2;4;False
337009903_2;3;False
337009905_2;4;False
337011901_2;4;False
337012000_2;5;False
337012200_2;5;False
337012700_2;5;False
337012800_2;1;False
337013000_2;1;False
337013100_2;6;False
337013200_2;6;False
337013600_2;3;False
337014600_2;3;False
337014800_2;8;False
337014900_2;5;False
337015000_2;9;False
337015100_2;5;False
337015200_2;5;False
337015300_2;5;False
337015400_2;5;False
337015500_2;9;False
337015600_2;5;False
337015700_2;5;False
337015800_2;8;False
337015900_2;8;False
337016000_2;9;False
337016001_2;3;False
337016100_2;8;False
337016600_2;4;False
337016800_2;3;False
337016900_2;4;False
337017000_2;3;False
337017100_2;4;False
337017200_2;4;False
337017300_2;8;False
337017400_2;8;False
337031600_2;4;False
337081300_2;4;False
337081701_2;4;False
337082100_2;9;False
337082301_2;9;False
337082800_2;4;False
337083300_2;4;False
337100101_2;2;False
337101000_2;4;False
337130200_2;5;False
337135200_2;3;False
337160100_2;4;False
337160500_2;3;False
337200200_2;8;False
337209000_2;3;False
337268900_2;3;False
337504200_2;1;False
337509700_2;1;False
337766600_2;4;False
337830502_2;6;False
337830503_2;1;False
337830504_2;1;False
337831200_2;9;False
337850112_2;1;False
337850607_2;8;False
337850901_2;9;False
337851100_2;9;False
337852600_2;4;False
337852700_2;4;False
337861803_2;3;False
337861804_2;4;False
337880302_2;1;False
337880901_2;5;False
337882001_2;5;False
337882100_2;5;False
337882600_2;8;False
337901802_2;4;False
337951000_2;5;False
337962200_2;9;False
337994912_2;6;False
337994913_2;1;False
338008500_2;1;False
338008700_2;1;False
338008800_2;1;False
338008900_2;1;False
338009100_2;5;False
338009300_2;5;False
338009400_2;1;False
338009500_2;5;False
338009600_2;1;False
338010400_2;9;False
338011200_2;9;False
338013200_2;5;False
338013300_2;5;False
338013700_2;5;False
338013800_2;5;False
338014200_2;5;False
338014300_2;5;False
338014400_2;5;False
338019900_2;5;False
338020000_2;5;False
338020100_2;5;False
338020500_2;5;False
338020600_2;5;False
338020800_2;5;False
338021200_2;5;False
338025900_2;1;False
338026000_2;5;False
338028200_2;8;False
338028300_2;8;False
338028500_2;1;False
338880302_2;3;False
338886104_2;3;False
338962200_2;5;False
338980000_2;9;False
339023100_2;5;False
339024700_2;5;False
339026900_2;5;False
344000500_2;9;False
344000600_2;9;False
344000700_2;9;False
344088200_2;9;False
344088303_2;9;False
344088701_2;9;False
345008400_2;3;False
345009600_2;9;False
345009700_2;9;False
345009800_2;4;False
345009900_2;4;False
345010000_2;9;False
345010100_2;4;False
345010200_2;4;False
345010300_2;5;False
345010500_2;9;False
345010600_2;9;False
345010700_2;4;False
345010800_2;4;False
345010900_2;9;False
345011300_2;5;False
345011600_2;9;False
345011700_2;9;False
345011800_2;4;False
345011900_2;9;False
345012000_2;4;False
345012400_2;9;False
345012500_2;4;False
345012600_2;4;False
345012700_2;9;False
345012800_2;9;False
345012900_2;9;False
345013000_2;5;False
345013500_2;4;False
345013600_2;9;False
345018600_2;5;False
345018700_2;5;False
345018800_2;5;False
345018900_2;5;False
345019000_2;8;False
345019100_2;1;False
345019200_2;8;False
345019300_2;5;False
345019400_2;1;False
345019500_2;8;False
345019600_2;1;False
345019700_2;5;False
345019800_2;5;False
345019900_2;8;False
345020600_2;1;False
345020800_2;1;False
345020900_2;5;False
345021000_2;8;False
345021100_2;1;False
345021800_2;5;False
345021900_2;8;False
345022100_2;5;False
345022200_2;5;False
345022400_2;5;False
345022700_2;1;False
345022800_2;1;False
345022900_2;1;False
345023100_2;1;False
345023200_2;6;False
345023700_2;1;False
345023800_2;6;False
345023900_2;6;False
345024100_2;1;False
345024500_2;1;False
345024600_2;1;False
345024700_2;1;False
345024900_2;1;False
345025000_2;1;False
345025100_2;1;False
345025200_2;6;False
345026800_2;6;False
347000400_2;6;False
347000500_2;6;False
347000600_2;1;False
347000700_2;6;False
348000100_2;9;False
349000100_2;1;False
349000200_2;6;False
349000300_2;8;False
349000400_2;1;False
349002500_2;2;False
349002600_2;4;False
34B000000_2;4;False
34B850404_2;9;False
352000000_2;4;False
352000100_2;4;False
363000000_2;1;False
363002100_2;5;False
363002200_2;1;False
36D002300_2;9;False
36D002400_2;5;False
36D002500_2;1;False
36D002600_2;5;False
36D002700_2;5;False
36D002800_2;8;False
36D002900_2;5;False
36D003000_2;5;False
36D003100_2;1;False
36D291701_2;5;False
36D291702_2;1;False
36D291703_2;1;False
36D291704_2;5;False
36D291705_2;1;False
36D291706_2;1;False
36D291707_2;1;False
36D291708_2;1;False
36D291709_2;1;False
36D291710_2;1;False
36D291711_2;1;False
36D291712_2;1;False
36D291714_2;6;False
36D291715_2;6;False
36D291716_2;1;False
39D997832_2;4;False
39D997833_2;4;False
39D997834_2;4;False
39D997835_2;4;False
39D997836_2;4;False
39D997837_2;4;False
