Product;Color;Size;Ldate;Age Group;Person;Pname;Ptype;Tprice;Currency;Sales Season;Nstore
325176700_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.0068238213399503716
325176800_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.008064516129032258
325176900_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.006513647642679901
325177000_2;Other;No Size;32;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.007133995037220843
325177100_2;Other;No Size;41;29-38;Men;Socks;Stockings;0.0111731843575419;$;Autumn;0.0347394540942928
325177500_2;Other;No Size;41;29-38;Female;Socks;Stockings;0.0111731843575419;$;Autumn;0.024503722084367244
325177600_2;Other;No Size;41;29-38;Female;Socks;Stockings;0.0111731843575419;$;Autumn;0.01892059553349876
325177800_2;Other;No Size;41;29-38;Female;Socks;Stockings;0.0111731843575419;$;Autumn;0.019851116625310174
325177900_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325178000_2;Other;No Size;1;29-38;Female;Socks;Stockings;0.04748603351955308;$;Autumn;0.0009305210918114144
325178100_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0012406947890818859
325178200_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0012406947890818859
325178400_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0009305210918114144
325178600_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0021712158808933004
325178800_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0021712158808933004
325178900_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0015508684863523572
325179000_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325179200_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0015508684863523572
325179400_2;Other;No Size;38;29-38;Men;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325179700_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.00031017369727047146
325180000_2;Other;No Size;1;29-38;Female;Socks;Stockings;0.0782122905027933;Y;Autumn;0.00031017369727047146
325180005_2;Other;No Size;45;29-38;Female;Boots;Disable;0.05027932960893855;$;Winter;0.00031017369727047146
325180006_2;Other;No Size;1;29-38;Female;Socks;Tube Socks;0.039106145251396655;Y;Spring;0.00031017369727047146
325180500_2;Other;No Size;38;29-38;Female;Socks;Wool Socks;0.0223463687150838;Y;Winter;0.0006203473945409429
325182801_2;Other;No Size;1;29-38;Men;Socks;Stockings;0.039106145251396655;$;Autumn;0.0
