Product;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
325048006_2;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;3.0;5.0;3.0;3.0
325049800_2;6.0;9.0;5.0;4.0;3.0;1.0;4.0;7.0;3.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0
325049900_2;4.0;10.0;7.0;3.0;3.0;1.0;0.0;6.0;7.0;2.0;1.0;0.0;0.0;1.0;1.0;0.0
325050008_2;3.0;4.0;1.0;3.0;4.0;1.0;1.0;10.0;10.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0
325050011_2;1.0;1.0;0.0;0.0;1.0;3.0;9.0;7.0;20.0;22.0;7.0;6.0;5.0;6.0;3.0;1.0
325050200_2;8.0;19.0;15.0;9.0;10.0;10.0;5.0;16.0;29.0;14.0;3.0;2.0;0.0;0.0;0.0;0.0
325050400_2;3.0;4.0;2.0;4.0;3.0;4.0;5.0;4.0;6.0;4.0;1.0;0.0;2.0;2.0;0.0;0.0
325050901_2;5.0;10.0;5.0;0.0;2.0;4.0;2.0;1.0;3.0;2.0;0.0;0.0;0.0;0.0;2.0;2.0
325050903_2;3.0;4.0;1.0;1.0;1.0;0.0;0.0;2.0;4.0;2.0;0.0;1.0;1.0;0.0;0.0;2.0
325050905_2;2.0;2.0;1.0;1.0;1.0;2.0;1.0;2.0;3.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0
325050907_2;5.0;7.0;4.0;3.0;7.0;9.0;9.0;8.0;6.0;5.0;3.0;2.0;1.0;1.0;0.0;0.0
325050908_2;2.0;7.0;5.0;0.0;3.0;10.0;10.0;4.0;9.0;15.0;8.0;1.0;1.0;3.0;2.0;0.0
325050910_2;7.0;12.0;6.0;1.0;0.0;0.0;1.0;2.0;1.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0
325059500_2;4.0;5.0;1.0;3.0;4.0;2.0;7.0;10.0;6.0;5.0;8.0;6.0;3.0;9.0;7.0;0.0
325060003_2;12.0;37.0;51.0;42.0;28.0;12.0;0.0;0.0;0.0;1.0;1.0;0.0;9.0;9.0;0.0;0.0
325060600_2;1.0;1.0;0.0;4.0;5.0;1.0;1.0;5.0;5.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0
325061603_2;2.0;3.0;2.0;2.0;1.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;1.0;1.0;0.0;0.0
325063900_2;8.0;18.0;11.0;15.0;14.0;0.0;0.0;0.0;0.0;1.0;6.0;6.0;1.0;0.0;0.0;0.0
325064600_2;1.0;5.0;5.0;2.0;4.0;3.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;2.0;0.0;1.0
325064900_2;5.0;12.0;15.0;56.0;48.0;0.0;1.0;1.0;1.0;1.0;4.0;6.0;12.0;10.0;1.0;1.0
325067600_2;7.0;9.0;4.0;7.0;6.0;12.0;11.0;1.0;1.0;0.0;1.0;1.0;8.0;9.0;4.0;4.0
325069200_2;3.0;3.0;0.0;0.0;0.0;1.0;4.0;7.0;4.0;1.0;4.0;3.0;0.0;1.0;1.0;0.0
325070700_2;1.0;1.0;3.0;5.0;2.0;0.0;2.0;2.0;0.0;0.0;0.0;1.0;1.0;1.0;3.0;2.0
325070900_2;1.0;7.0;6.0;1.0;1.0;0.0;0.0;1.0;2.0;1.0;1.0;3.0;4.0;3.0;2.0;5.0
325074600_2;1.0;2.0;1.0;0.0;1.0;1.0;1.0;2.0;2.0;1.0;3.0;5.0;3.0;2.0;1.0;0.0
325075002_2;3.0;4.0;8.0;8.0;16.0;19.0;6.0;5.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
325075100_2;2.0;3.0;2.0;1.0;1.0;3.0;2.0;1.0;3.0;4.0;4.0;7.0;7.0;4.0;3.0;4.0
325075600_2;1.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;3.0;3.0;3.0;7.0;6.0
325076004_2;2.0;2.0;1.0;1.0;0.0;1.0;4.0;4.0;3.0;4.0;3.0;1.0;0.0;0.0;0.0;2.0
325076100_2;2.0;6.0;4.0;3.0;3.0;0.0;3.0;5.0;3.0;2.0;2.0;4.0;7.0;5.0;2.0;2.0
325076300_2;1.0;3.0;2.0;0.0;1.0;4.0;3.0;3.0;4.0;1.0;0.0;0.0;0.0;3.0;3.0;0.0
