;Product;Cluster;Centroid
772;32A7853357208;16;('3330098005603',)
773;32A7853364408;16;('3330098005603',)
774;32A7853367108;7;('3330090008003',)
775;32A7853367208;6;('32A7853367208',)
776;32A7853368308;37;('3330135005600',)
777;32A7853373608;51;('3330086003603',)
778;32A7853375608;52;('3339315300002',)
779;32A7853376008;51;('3330086003603',)
780;32A7853377108;51;('3330086003603',)
781;32A7853377208;51;('3330086003603',)
782;32D0000009001;20;('3250595000000',)
783;32D0000009002;30;('3329797710103',)
784;32D0000009005;19;('3280276017100',)
785;32D0037020001;6;('32A7853367208',)
786;32D0037030001;11;('32D0037030001',)
787;32D0037030002;20;('3250595000000',)
788;32D0037040002;7;('3330090008003',)
789;32D0037050002;37;('3330135005600',)
790;32D0037119001;36;('3250711000000',)
791;32D0037119002;13;('3330095008003',)
792;32D0037119005;30;('3329797710103',)
793;32D0037129001;51;('3330086003603',)
794;32D0037129002;7;('3330090008003',)
795;32D0037129005;22;('3250635000000',)
796;32D0037139001;9;('3330092008003',)
797;32D0037139005;42;('3320069000000',)
798;32D0037149001;42;('3320069000000',)
799;32D0037159002;42;('3320069000000',)
800;32D0037169001;1;('3250001070000',)
801;32D0037179002;8;('3258806000000',)
802;32D0037189001;9;('3330092008003',)
803;3320001000000;45;('3280159000000',)
804;3320002000000;40;('3280087000000',)
805;3320005009000;42;('3320069000000',)
806;3320006009000;4;('3280261005605',)
807;3320006019000;39;('3320050000000',)
808;3320007009000;4;('3280261005605',)
809;3320008000000;4;('3280261005605',)
810;3320015000000;46;('3289564745608',)
811;3320016000000;14;('3320252002702',)
812;3320017000000;24;('3329797626003',)
813;3320018000000;24;('3329797626003',)
814;3320019000000;42;('3320069000000',)
815;3320020000000;42;('3320069000000',)
816;3320021000000;50;('3320231002603',)
817;3320022000000;19;('3280276017100',)
818;3320023000000;31;('3280057000000',)
819;3320026000000;38;('3320049000000',)
820;3320028000000;27;('3320028000000',)
821;3320029000000;31;('3280057000000',)
822;3320030000000;38;('3320049000000',)
823;3320031000000;38;('3320049000000',)
824;3320032000000;39;('3320050000000',)
825;3320033000000;38;('3320049000000',)
826;3320034000000;24;('3329797626003',)
827;3320035000000;45;('3280159000000',)
828;3320036000000;40;('3280087000000',)
829;3320037000000;45;('3280159000000',)
830;3320039000000;40;('3280087000000',)
831;3320040000000;45;('3280159000000',)
832;3320042000000;45;('3280159000000',)
833;3320043000000;31;('3280057000000',)
834;3320044000000;42;('3320069000000',)
835;3320045000000;35;('3253121010000',)
836;3320046000000;31;('3280057000000',)
837;3320047000000;42;('3320069000000',)
838;3320048000000;40;('3280087000000',)
839;3320049000000;38;('3320049000000',)
840;3320050000000;39;('3320050000000',)
841;3320051000000;38;('3320049000000',)
842;3320052000000;13;('3330095008003',)
843;3320053000000;38;('3320049000000',)
844;3320054000000;39;('3320050000000',)
845;3320055000000;31;('3280057000000',)
846;3320056000000;40;('3280087000000',)
847;3320057000000;19;('3280276017100',)
848;3320058000000;50;('3320231002603',)
849;3320059000000;50;('3320231002603',)
850;3320060000000;3;('3250003060000',)
851;3320061000000;4;('3280261005605',)
852;3320062000000;46;('3289564745608',)
853;3320063000000;5;('3253666009000',)
854;3320064000000;33;('3339315638303',)
855;3320065000000;40;('3280087000000',)
856;3320067000000;1;('3250001070000',)
857;3320069000000;42;('3320069000000',)
858;3320071000000;33;('3339315638303',)
859;3320072000000;40;('3280087000000',)
860;3320075000000;42;('3320069000000',)
861;3320076000000;40;('3280087000000',)
862;3320078000000;7;('3330090008003',)
863;3320081000000;24;('3329797626003',)
864;3320082000000;10;('3320251005602',)
865;3320090000000;40;('3280087000000',)
866;3320092000000;24;('3329797626003',)
867;3320093000000;33;('3339315638303',)
868;3320094000000;11;('32D0037030001',)
869;3320095000000;45;('3280159000000',)
870;3320096000000;18;('3339315570203',)
871;3320098000000;13;('3330095008003',)
872;3320099000000;28;('3339315615603',)
873;3320100000000;24;('3329797626003',)
874;3320101000000;33;('3339315638303',)
875;3320103000000;11;('32D0037030001',)
876;3320104000000;24;('3329797626003',)
877;3320133000000;1;('3250001070000',)
878;3320159000000;1;('3250001070000',)
879;3320160000000;33;('3339315638303',)
880;3320162000000;33;('3339315638303',)
881;3320163000000;33;('3339315638303',)
882;3320229000203;36;('3250711000000',)
883;3320229001603;37;('3330135005600',)
884;3320229003703;4;('3280261005605',)
885;3320229006003;7;('3330090008003',)
886;3320229007003;4;('3280261005605',)
887;3320231000203;10;('3320251005602',)
888;3320231002603;50;('3320231002603',)
889;3320231003603;31;('3280057000000',)
890;3320231006003;31;('3280057000000',)
891;3320231007003;13;('3330095008003',)
892;3320232000203;49;('3339315199003',)
893;3320232001503;25;('3250642000000',)
894;3320232002603;2;('3250001080000',)
895;3320232003603;50;('3320231002603',)
896;3320232007003;50;('3320231002603',)
897;3320233000203;3;('3250003060000',)
898;3320233001503;49;('3339315199003',)
899;3320233002603;49;('3339315199003',)
900;3320233004003;34;('3253100010000',)
901;3320233006103;49;('3339315199003',)
902;3320234000203;49;('3339315199003',)
903;3320234002603;6;('32A7853367208',)
904;3320234004603;51;('3330086003603',)
905;3320234006003;2;('3250001080000',)
906;3320234007003;50;('3320231002603',)
907;3320250001202;40;('3280087000000',)
908;3320250005602;42;('3320069000000',)
909;3320250006002;46;('3289564745608',)
910;3320250006102;24;('3329797626003',)
911;3320250007602;10;('3320251005602',)
912;3320251002702;10;('3320251005602',)
913;3320251005602;10;('3320251005602',)
914;3320251006002;10;('3320251005602',)
915;3320251006102;10;('3320251005602',)
916;3320251007602;24;('3329797626003',)
917;3320252001202;14;('3320252002702',)
918;3320252002702;14;('3320252002702',)
919;3320252006002;21;('3280021009000',)
920;3320252006102;14;('3320252002702',)
921;3320252007602;14;('3320252002702',)
922;3320349000000;31;('3280057000000',)
923;3320359019000;39;('3320050000000',)
924;3320367009000;1;('3250001070000',)
925;3320368009000;32;('3280334006008',)
926;3320369009000;48;('32A7853315608',)
927;3320383000003;3;('3250003060000',)
928;3320383000200;22;('3250635000000',)
929;3320383002600;22;('3250635000000',)
930;3320383005600;3;('3250003060000',)
931;3320383006000;1;('3250001070000',)
932;3320383008300;22;('3250635000000',)
933;3321213000000;3;('3250003060000',)
934;3321214000000;1;('3250001070000',)
935;3321216000000;1;('3250001070000',)
936;3321217000000;30;('3329797710103',)
937;3322905000000;3;('3250003060000',)
938;3323300000000;30;('3329797710103',)
939;3329797379003;24;('3329797626003',)
940;3329797389003;24;('3329797626003',)
941;3329797620203;25;('3250642000000',)
942;3329797621503;50;('3320231002603',)
943;3329797622603;24;('3329797626003',)
944;3329797625603;15;('3253698009000',)
945;3329797626003;24;('3329797626003',)
946;3329797627003;24;('3329797626003',)
947;3329797628303;24;('3329797626003',)
948;3329797702603;50;('3320231002603',)
949;3329797706003;50;('3320231002603',)
950;3329797707103;50;('3320231002603',)
951;3329797708303;37;('3330135005600',)
952;3329797710103;30;('3329797710103',)
953;3329797711503;7;('3330090008003',)
954;3329797715603;7;('3330090008003',)
955;3329797716003;7;('3330090008003',)
956;3330001150002;30;('3329797710103',)
957;3330010010001;51;('3330086003603',)
958;3330011000000;52;('3339315300002',)
959;3330012000000;51;('3330086003603',)
960;3330013000000;33;('3339315638303',)
961;3330014000000;25;('3250642000000',)
962;3330018000000;25;('3250642000000',)
963;3330020000000;13;('3330095008003',)
964;3330022000000;4;('3280261005605',)
965;3330026000000;25;('3250642000000',)
966;3330027000000;9;('3330092008003',)
967;3330028000000;13;('3330095008003',)
968;3330028010002;9;('3330092008003',)
969;3330029000000;13;('3330095008003',)
970;3330030000000;34;('3253100010000',)
971;3330031000000;9;('3330092008003',)
972;3330032000000;9;('3330092008003',)
973;3330033000000;9;('3330092008003',)
974;3330034000000;13;('3330095008003',)
975;3330035000000;16;('3330098005603',)
976;3330036000000;9;('3330092008003',)
977;3330037000000;9;('3330092008003',)
978;3330039000000;9;('3330092008003',)
979;3330040000000;9;('3330092008003',)
980;3330041000000;16;('3330098005603',)
981;3330042000000;9;('3330092008003',)
982;3330043000000;16;('3330098005603',)
983;3330044000000;9;('3330092008003',)
984;3330054000000;16;('3330098005603',)
985;3330058000000;9;('3330092008003',)
986;3330059000000;16;('3330098005603',)
987;3330061000000;42;('3320069000000',)
988;3330063000000;16;('3330098005603',)
989;3330064000000;42;('3320069000000',)
990;3330065000000;9;('3330092008003',)
991;3330069000000;49;('3339315199003',)
992;3330070000000;9;('3330092008003',)
993;3330072000000;9;('3330092008003',)
994;3330073000000;49;('3339315199003',)
995;3330075000000;9;('3330092008003',)
996;3330076000000;9;('3330092008003',)
997;3330078000003;42;('3320069000000',)
998;3330079000003;9;('3330092008003',)
999;3330080000003;16;('3330098005603',)
1000;3330082000103;9;('3330092008003',)
1001;3330082001003;9;('3330092008003',)
1002;3330082001203;9;('3330092008003',)
1003;3330082001503;9;('3330092008003',)
1004;3330082002603;16;('3330098005603',)
1005;3330082003603;9;('3330092008003',)
1006;3330082004603;9;('3330092008003',)
1007;3330082005603;9;('3330092008003',)
1008;3330082006003;7;('3330090008003',)
1009;3330082006103;7;('3330090008003',)
1010;3330082007003;30;('3329797710103',)
1011;3330083000203;51;('3330086003603',)
1012;3330083003603;51;('3330086003603',)
1013;3330083006003;40;('3280087000000',)
1014;3330084000203;51;('3330086003603',)
1015;3330084007003;38;('3320049000000',)
1016;3330085003803;51;('3330086003603',)
1017;3330085007903;42;('3320069000000',)
1018;3330086000103;16;('3330098005603',)
1019;3330086003603;51;('3330086003603',)
1020;3330086007003;16;('3330098005603',)
1021;3330087000203;51;('3330086003603',)
1022;3330087002603;9;('3330092008003',)
1023;3330087003603;16;('3330098005603',)
1024;3330087005603;13;('3330095008003',)
1025;3330087007003;51;('3330086003603',)
1026;3330089000203;30;('3329797710103',)
1027;3330089005603;33;('3339315638303',)
1028;3330089007003;33;('3339315638303',)
1029;3330089008003;7;('3330090008003',)
1030;3330090000203;30;('3329797710103',)
1031;3330090005603;7;('3330090008003',)
1032;3330090007003;7;('3330090008003',)
1033;3330090007403;7;('3330090008003',)
1034;3330090008003;7;('3330090008003',)
1035;3330090008503;7;('3330090008003',)
1036;3330092005603;30;('3329797710103',)
1037;3330092007003;51;('3330086003603',)
1038;3330092008003;9;('3330092008003',)
1039;3330094005603;40;('3280087000000',)
1040;3330094007003;24;('3329797626003',)
1041;3330094008003;13;('3330095008003',)
1042;3330095005603;24;('3329797626003',)
1043;3330095007003;24;('3329797626003',)
1044;3330095008003;13;('3330095008003',)
1045;3330096000203;51;('3330086003603',)
1046;3330096001603;13;('3330095008003',)
1047;3330096003703;51;('3330086003603',)
1048;3330096006103;13;('3330095008003',)
1049;3330096007003;38;('3320049000000',)
1050;3330096008003;51;('3330086003603',)
1051;3330097000203;13;('3330095008003',)
1052;3330097005603;16;('3330098005603',)
1053;3330097008003;4;('3280261005605',)
1054;3330098005603;16;('3330098005603',)
1055;3330098008203;13;('3330095008003',)
1056;3330099000203;7;('3330090008003',)
1057;3330099005603;7;('3330090008003',)
1058;3330099008203;16;('3330098005603',)
1059;3330100003703;13;('3330095008003',)
1060;3330100005603;16;('3330098005603',)
1061;3330100008003;13;('3330095008003',)
1062;3330104000203;9;('3330092008003',)
1063;3330104003703;16;('3330098005603',)
1064;3330104005603;22;('3250635000000',)
1065;3330104006003;16;('3330098005603',)
1066;3330104007103;22;('3250635000000',)
1067;3330104008003;16;('3330098005603',)
1068;3330105005603;39;('3320050000000',)
1069;3330105006003;14;('3320252002702',)
1070;3330105008003;13;('3330095008003',)
1071;3330106005603;23;('3252694000000',)
1072;3330106008003;10;('3320251005602',)
1073;3330114001203;51;('3330086003603',)
1074;3330114003603;14;('3320252002702',)
1075;3330114003703;1;('3250001070000',)
1076;3330114004703;51;('3330086003603',)
1077;3330114005603;4;('3280261005605',)
1078;3330114006003;51;('3330086003603',)
1079;3330114008003;12;('3280001009000',)
1080;3330129005603;34;('3253100010000',)
1081;3330129007003;25;('3250642000000',)
1082;3330129008003;7;('3330090008003',)
1083;3330130005603;44;('3250879000000',)
1084;3330130008003;7;('3330090008003',)
1085;3330131005603;18;('3339315570203',)
1086;3330131008003;7;('3330090008003',)
1087;3330132008003;6;('32A7853367208',)
1088;3330133009003;30;('3329797710103',)
1089;3330134000003;48;('32A7853315608',)
1090;3330135000003;5;('3253666009000',)
1091;3330135000200;6;('32A7853367208',)
1092;3330135003600;16;('3330098005603',)
1093;3330135005600;37;('3330135005600',)
1094;3330135006000;7;('3330090008003',)
1095;3330135008300;7;('3330090008003',)
1096;3330138009003;34;('3253100010000',)
1097;3330139000200;37;('3330135005600',)
1098;3330139001500;30;('3329797710103',)
1099;3330139003600;43;('3250836000000',)
1100;3330139005600;44;('3250879000000',)
1101;3330139006000;48;('32A7853315608',)
1102;3330139007000;3;('3250003060000',)
1103;3330141000000;42;('3320069000000',)
1104;3330141000200;22;('3250635000000',)
1105;3330141003600;49;('3339315199003',)
1106;3330141005600;43;('3250836000000',)
1107;3330141006000;19;('3280276017100',)
1108;3330141007100;43;('3250836000000',)
1109;3330141007200;7;('3330090008003',)
