;Product;Cluster;Centroid
680;3330095005603;13;('3330095005603',)
681;3330095007003;13;('3330095005603',)
682;3330095008003;11;('3280057000000',)
683;3330096000203;5;('3320090000000',)
684;3330096001603;5;('3320090000000',)
685;3330096003703;17;('3280119000000',)
686;3330096006103;31;('3280306006105',)
687;3330096007003;5;('3320090000000',)
688;3330096008003;18;('3330104003703',)
689;3330097000203;18;('3330104003703',)
690;3330097005603;18;('3330104003703',)
691;3330097008003;18;('3330104003703',)
692;3330098005603;18;('3330104003703',)
693;3330098008203;18;('3330104003703',)
694;3330099000203;18;('3330104003703',)
695;3330099005603;18;('3330104003703',)
696;3330099008203;18;('3330104003703',)
697;3330100003703;18;('3330104003703',)
698;3330100005603;18;('3330104003703',)
699;3330100008003;18;('3330104003703',)
700;3330104000203;18;('3330104003703',)
701;3330104003703;18;('3330104003703',)
702;3330104005603;18;('3330104003703',)
703;3330104006003;18;('3330104003703',)
704;3330104007103;18;('3330104003703',)
705;3330104008003;18;('3330104003703',)
706;3330105005603;18;('3330104003703',)
707;3330105006003;25;('3280263004405',)
708;3330105008003;18;('3330104003703',)
709;3330106005603;5;('3320090000000',)
710;3330106008003;18;('3330104003703',)
711;3330114001203;31;('3280306006105',)
712;3330114003603;24;('3338866009002',)
713;3330114003703;31;('3280306006105',)
714;3330114004703;31;('3280306006105',)
715;3330114005603;18;('3330104003703',)
716;3330114006003;3;('3330085003803',)
717;3330114008003;3;('3330085003803',)
718;3330129005603;31;('3280306006105',)
719;3330129007003;31;('3280306006105',)
720;3330129008003;3;('3330085003803',)
721;3330130005603;31;('3280306006105',)
722;3330130008003;31;('3280306006105',)
723;3330131005603;16;('3290034005605',)
724;3330131008003;16;('3290034005605',)
725;3330132008003;18;('3330104003703',)
726;3330133009003;24;('3338866009002',)
727;3330134000003;21;('32A0066009008',)
728;3330199008000;30;('3253877009000',)
729;3330302009000;36;('3330078000003',)
730;3330506000002;24;('3338866009002',)
731;3332012009000;3;('3330085003803',)
732;3332381009000;15;('3253668009000',)
