;Product;Cluster;Centroid
467;331754100_2;6;31C999906_2
468;331783500_2;6;31C999906_2
469;331783600_2;6;31C999906_2
470;331783700_2;6;31C999906_2
471;331783800_2;6;31C999906_2
472;331799401_2;7;335055200_2
473;331800103_2;4;335036700_2
474;331900303_2;4;335036700_2
475;331900500_2;4;335036700_2
476;331995267_2;7;335055200_2
477;331995268_2;7;335055200_2
478;331995269_2;1;331050500_2
479;331995270_2;7;335055200_2
480;331995271_2;6;31C999906_2
481;331995272_2;7;335055200_2
482;331995273_2;6;31C999906_2
483;331995274_2;7;335055200_2
484;331995277_2;6;31C999906_2
485;331995278_2;6;31C999906_2
486;331995281_2;1;331050500_2
487;331995282_2;1;331050500_2
488;331995283_2;1;331050500_2
489;331995284_2;6;31C999906_2
490;331995285_2;6;31C999906_2
491;331995286_2;6;31C999906_2
492;331995287_2;1;331050500_2
493;331995288_2;7;335055200_2
494;331995289_2;7;335055200_2
495;331995290_2;7;335055200_2
496;331995291_2;1;331050500_2
497;331995292_2;1;331050500_2
498;331995293_2;7;335055200_2
499;331995294_2;1;331050500_2
500;331995295_2;1;331050500_2
501;331995296_2;1;331050500_2
502;331995297_2;1;331050500_2
503;332018100_2;10;337015200_2
504;332018200_2;4;335036700_2
505;332018300_2;4;335036700_2
506;332018400_2;11;331023400_2
507;332025300_2;10;337015200_2
508;332025400_2;11;331023400_2
509;332025500_2;10;337015200_2
510;332025600_2;7;335055200_2
511;332025700_2;6;31C999906_2
512;332025800_2;7;335055200_2
513;332025900_2;7;335055200_2
514;332036100_2;8;332979754_2
515;332036200_2;3;31C999901_2
516;332036300_2;3;31C999901_2
517;332037300_2;8;332979754_2
518;332037400_2;8;332979754_2
519;332037500_2;8;332979754_2
520;332037600_2;8;332979754_2
521;332037900_2;8;332979754_2
522;332038100_2;8;332979754_2
523;332038200_2;8;332979754_2
524;332979747_2;8;332979754_2
525;332979750_2;6;31C999906_2
526;332979751_2;10;337015200_2
527;332979752_2;11;331023400_2
528;332979753_2;11;331023400_2
529;332979754_2;8;332979754_2
530;332979755_2;8;332979754_2
531;333931547_2;11;331023400_2
532;333931548_2;11;331023400_2
533;333931549_2;10;337015200_2
534;333931550_2;10;337015200_2
