;Product;Cluster;Centroid
270;32A004900_2;15;335030700_2
271;32A005000_2;16;331023300_2
272;32A005100_2;9;331028600_2
273;32A005400_2;15;335030700_2
274;32A005500_2;15;335030700_2
275;32A005600_2;16;331023300_2
276;32A005800_2;11;335026000_2
277;32A005900_2;16;331023300_2
278;32A006000_2;15;335030700_2
279;32A006100_2;9;331028600_2
280;32A785322_2;13;338980000_2
281;32A785323_2;18;331053700_2
282;32A785324_2;13;338980000_2
283;32A785325_2;18;331053700_2
284;32B009900_2;19;345018600_2
285;32B997313_2;19;345018600_2
286;32B997314_2;1;331995271_2
287;32B997315_2;1;331995271_2
288;32B997316_2;19;345018600_2
289;32B997317_2;1;331995271_2
290;32B997318_2;1;331995271_2
291;32B997319_2;19;345018600_2
292;32B997320_2;19;345018600_2
293;32B997321_2;1;331995271_2
294;32B997322_2;19;345018600_2
295;32B997323_2;19;345018600_2
296;32B997324_2;10;331052300_2
297;32B997325_2;10;331052300_2
298;32B997326_2;7;335057700_2
299;32B997327_2;12;331052900_2
300;330005600_2;5;326901900_2
301;330005800_2;13;338980000_2
302;330006100_2;16;331023300_2
303;330014500_2;7;335057700_2
304;330017100_2;13;338980000_2
305;330017200_2;13;338980000_2
306;330017500_2;16;331023300_2
307;330017600_2;9;331028600_2
308;330017800_2;16;331023300_2
309;330017900_2;13;338980000_2
310;330018100_2;13;338980000_2
311;330018200_2;3;331026700_2
312;330018300_2;3;331026700_2
313;330018400_2;9;331028600_2
314;330018500_2;3;331026700_2
315;330018600_2;15;335030700_2
316;330018800_2;3;331026700_2
317;330018900_2;15;335030700_2
318;330020600_2;9;331028600_2
319;330020700_2;3;331026700_2
320;330020800_2;3;331026700_2
321;330122906_2;9;331028600_2
322;330753600_2;9;331028600_2
323;330753700_2;16;331023300_2
324;330754000_2;11;335026000_2
325;330754300_2;9;331028600_2
326;330773800_2;8;336006600_2
327;330799401_2;9;331028600_2
328;331015500_2;11;335026000_2
329;331015700_2;9;331028600_2
330;331015800_2;11;335026000_2
331;331015900_2;9;331028600_2
332;331017200_2;15;335030700_2
333;331017400_2;15;335030700_2
334;331017500_2;11;335026000_2
335;331018000_2;13;338980000_2
336;331018300_2;16;331023300_2
337;331018500_2;3;331026700_2
338;331020300_2;16;331023300_2
339;331020500_2;9;331028600_2
340;331020600_2;16;331023300_2
341;331020700_2;9;331028600_2
342;331020900_2;16;331023300_2
343;331021100_2;16;331023300_2
344;331021200_2;9;331028600_2
345;331021300_2;16;331023300_2
346;331023200_2;16;331023300_2
347;331023300_2;16;331023300_2
348;331023400_2;16;331023300_2
349;331023700_2;11;335026000_2
350;331023900_2;3;331026700_2
351;331024300_2;9;331028600_2
352;331025400_2;3;331026700_2
353;331025900_2;11;335026000_2
354;331026300_2;3;331026700_2
355;331026700_2;3;331026700_2
356;331027200_2;15;335030700_2
357;331027300_2;11;335026000_2
358;331027400_2;11;335026000_2
359;331027600_2;3;331026700_2
360;331027700_2;11;335026000_2
361;331027800_2;11;335026000_2
362;331027900_2;3;331026700_2
363;331028200_2;9;331028600_2
364;331028300_2;5;326901900_2
365;331028600_2;9;331028600_2
366;331029000_2;9;331028600_2
367;331029100_2;11;335026000_2
368;331029300_2;18;331053700_2
369;331030100_2;3;331026700_2
370;331030400_2;3;331026700_2
371;331030500_2;3;331026700_2
372;331030600_2;3;331026700_2
373;331030700_2;3;331026700_2
374;331031600_2;15;335030700_2
375;331031700_2;9;331028600_2
376;331031900_2;9;331028600_2
377;331032100_2;3;331026700_2
378;331032200_2;9;331028600_2
379;331032300_2;9;331028600_2
380;331032400_2;9;331028600_2
381;331032500_2;16;331023300_2
382;331032600_2;16;331023300_2
383;331033300_2;3;331026700_2
384;331033400_2;15;335030700_2
385;331033500_2;9;331028600_2
386;331033600_2;15;335030700_2
387;331039300_2;3;331026700_2
388;331039400_2;3;331026700_2
389;331039500_2;9;331028600_2
390;331043000_2;16;331023300_2
391;331043200_2;9;331028600_2
392;331043500_2;16;331023300_2
