Product;Cluster;Centroid
327032700_2;6;336011600_2
327033200_2;6;336011600_2
327033900_2;10;331031700_2
327034400_2;9;335025700_2
327034500_2;1;331995271_2
327034600_2;9;335025700_2
327038300_2;11;337015200_2
327041700_2;7;331051800_2
327500000_2;11;337015200_2
327600001_2;7;331051800_2
327830200_2;11;337015200_2
327950203_2;10;331031700_2
328028100_2;2;331039400_2
328030900_2;11;337015200_2
328031000_2;6;336011600_2
328031100_2;12;331023400_2
328032700_2;4;332037600_2
328032800_2;4;332037600_2
328032900_2;7;331051800_2
328956402_2;4;332037600_2
328956403_2;4;332037600_2
328956404_2;3;335015200_2
328956405_2;4;332037600_2
328956452_2;1;331995271_2
328956453_2;1;331995271_2
328956454_2;11;337015200_2
328956455_2;11;337015200_2
328956456_2;6;336011600_2
328956457_2;6;336011600_2
328956458_2;11;337015200_2
328956459_2;11;337015200_2
328956460_2;6;336011600_2
328956461_2;6;336011600_2
328956462_2;4;332037600_2
328956463_2;4;332037600_2
328956464_2;1;331995271_2
328956465_2;1;331995271_2
328956466_2;4;332037600_2
328956467_2;4;332037600_2
328956468_2;4;332037600_2
328956469_2;4;332037600_2
32A004100_2;2;331039400_2
32A004200_2;9;335025700_2
32A004300_2;9;335025700_2
32A004400_2;2;331039400_2
32A004500_2;3;335015200_2
32A004600_2;5;335023000_2
32A004900_2;3;335015200_2
32A005000_2;6;336011600_2
32A005100_2;10;331031700_2
32A005400_2;3;335015200_2
32A005500_2;3;335015200_2
32A005600_2;12;331023400_2
32A005800_2;2;331039400_2
32A005900_2;6;336011600_2
32A006000_2;3;335015200_2
32A006100_2;10;331031700_2
32A785322_2;6;336011600_2
32A785323_2;1;331995271_2
32A785324_2;4;332037600_2
32A785325_2;11;337015200_2
32B009900_2;11;337015200_2
32B997313_2;1;331995271_2
32B997314_2;1;331995271_2
32B997315_2;1;331995271_2
32B997316_2;1;331995271_2
32B997317_2;1;331995271_2
32B997318_2;1;331995271_2
32B997319_2;1;331995271_2
32B997320_2;1;331995271_2
32B997321_2;1;331995271_2
